,n = 500,n = 1000,n = 2000,n = 2500
143,0.098,0.04,0.96,0.9805
144,0.074,0.059,0.958,0.982
145,0.116,0.929,0.9586666666666667,0.0335
146,0.102,0.066,0.9713333333333334,0.9785
147,0.836,0.103,0.04466666666666667,0.975
148,0.774,0.054,0.972,0.04
149,0.784,0.061,0.9646666666666667,0.976
150,0.13,0.935,0.9633333333333334,0.972
151,0.204,0.919,0.038,0.975
152,0.08,0.076,0.964,0.9755
153,0.09,0.926,0.9633333333333334,0.9815
154,0.088,0.062,0.9593333333333334,0.9765
155,0.15,0.924,0.04,0.9735
156,0.078,0.938,0.9686666666666667,0.978
157,0.106,0.923,0.9673333333333334,0.9775
158,0.792,0.925,0.9646666666666667,0.9825
159,0.094,0.054,0.9473333333333334,0.0415
160,0.776,0.926,0.03866666666666667,0.9875
161,0.086,0.07,0.9613333333333334,0.982
162,0.778,0.928,0.9646666666666667,0.9795
163,0.092,0.935,0.9726666666666667,0.9765
164,0.824,0.061,0.05266666666666667,0.9805
165,0.122,0.917,0.05333333333333334,0.981
166,0.822,0.917,0.9566666666666667,0.982
167,0.758,0.932,0.9626666666666667,0.9755
168,0.102,0.936,0.9573333333333334,0.9785
169,0.134,0.066,0.956,0.983
170,0.786,0.05,0.04733333333333333,0.9755
171,0.066,0.918,0.958,0.0435
172,0.106,0.927,0.97,0.9825
173,0.8,0.068,0.9693333333333334,0.978
174,0.118,0.924,0.9593333333333334,0.976
175,0.086,0.922,0.968,0.9775
176,0.814,0.935,0.97,0.9725
177,0.696,0.919,0.9606666666666667,0.977
178,0.81,0.933,0.051333333333333335,0.037
179,0.122,0.936,0.96,0.98
180,0.088,0.94,0.9586666666666667,0.9775
181,0.108,0.896,0.9613333333333334,0.037
182,0.13,0.106,0.968,0.9785
183,0.188,0.932,0.958,0.9785
184,0.07,0.918,0.9546666666666667,0.9845
185,0.218,0.931,0.9573333333333334,0.9835
186,0.124,0.93,0.037333333333333336,0.979
187,0.142,0.943,0.9626666666666667,0.978
188,0.14,0.909,0.07266666666666667,0.981
189,0.224,0.953,0.04533333333333334,0.975
190,0.07,0.058,0.9626666666666667,0.9795
191,0.112,0.94,0.9673333333333334,0.9745
192,0.798,0.933,0.9746666666666667,0.9835
193,0.082,0.93,0.9633333333333334,0.9785
194,0.072,0.936,0.962,0.9835
195,0.096,0.058,0.9666666666666667,0.9755
196,0.098,0.943,0.038,0.986
197,0.86,0.042,0.9566666666666667,0.9815
198,0.144,0.092,0.962,0.9785
199,0.812,0.075,0.9593333333333334,0.979
200,0.802,0.921,0.9706666666666667,0.98
201,0.116,0.916,0.9613333333333334,0.9765
202,0.14,0.089,0.972,0.047
203,0.072,0.098,0.9733333333333334,0.9745
204,0.072,0.049,0.9533333333333334,0.9825
205,0.84,0.07,0.9566666666666667,0.9865
206,0.074,0.917,0.966,0.9825
207,0.09,0.934,0.968,0.975
208,0.778,0.081,0.037333333333333336,0.032
209,0.072,0.09,0.958,0.9825
210,0.094,0.936,0.9713333333333334,0.9835
211,0.1,0.939,0.9546666666666667,0.9835
212,0.838,0.066,0.958,0.9805
213,0.106,0.062,0.9713333333333334,0.9755
214,0.09,0.047,0.9686666666666667,0.05
215,0.098,0.053,0.9633333333333334,0.978
216,0.098,0.934,0.9673333333333334,0.036
217,0.868,0.056,0.9633333333333334,0.983
218,0.142,0.05,0.966,0.975
219,0.072,0.95,0.9626666666666667,0.98
220,0.112,0.055,0.968,0.982
221,0.164,0.942,0.9506666666666667,0.9805
222,0.082,0.923,0.9673333333333334,0.9825
223,0.092,0.057,0.9693333333333334,0.9865
224,0.076,0.935,0.9673333333333334,0.982
225,0.83,0.936,0.962,0.982
226,0.826,0.942,0.964,0.983
227,0.076,0.084,0.9593333333333334,0.0465
228,0.084,0.936,0.9606666666666667,0.976
229,0.802,0.064,0.9613333333333334,0.976
230,0.114,0.907,0.9633333333333334,0.9835
231,0.13,0.051,0.9606666666666667,0.982
232,0.776,0.926,0.972,0.978
233,0.126,0.054,0.9613333333333334,0.9765
234,0.094,0.938,0.964,0.9805
235,0.156,0.945,0.9626666666666667,0.9815
236,0.074,0.052,0.9673333333333334,0.9735
237,0.658,0.92,0.962,0.03
238,0.096,0.049,0.9653333333333334,0.9855
239,0.086,0.921,0.974,0.984
240,0.82,0.909,0.048,0.987
241,0.074,0.068,0.968,0.979
242,0.124,0.927,0.966,0.9745
243,0.068,0.904,0.9606666666666667,0.9785
244,0.114,0.928,0.043333333333333335,0.979
245,0.83,0.06,0.9613333333333334,0.982
246,0.12,0.063,0.9646666666666667,0.9735
247,0.096,0.92,0.04533333333333334,0.984
248,0.81,0.901,0.9613333333333334,0.98
249,0.798,0.926,0.9666666666666667,0.9785
250,0.088,0.923,0.9646666666666667,0.9785
251,0.83,0.939,0.956,0.9825
252,0.096,0.942,0.044,0.978
253,0.788,0.069,0.9646666666666667,0.9795
254,0.098,0.924,0.9566666666666667,0.9715
255,0.088,0.921,0.04533333333333334,0.9765
256,0.836,0.94,0.952,0.0415
257,0.068,0.057,0.964,0.0395
258,0.214,0.926,0.9646666666666667,0.976
259,0.122,0.099,0.05733333333333333,0.975
260,0.138,0.062,0.966,0.977
261,0.162,0.069,0.9633333333333334,0.982
262,0.784,0.048,0.97,0.977
263,0.8,0.918,0.956,0.981
264,0.09,0.917,0.954,0.9765
265,0.094,0.915,0.9586666666666667,0.981
266,0.084,0.074,0.9666666666666667,0.979
267,0.084,0.933,0.9633333333333334,0.983
268,0.084,0.058,0.058666666666666666,0.978
269,0.846,0.9,0.05266666666666667,0.9735
270,0.13,0.056,0.9766666666666667,0.977
271,0.83,0.913,0.04133333333333333,0.983
272,0.088,0.067,0.96,0.9815
273,0.144,0.925,0.966,0.978
274,0.088,0.921,0.04666666666666667,0.9805
275,0.828,0.931,0.96,0.033
276,0.138,0.931,0.9653333333333334,0.9825
277,0.84,0.914,0.9513333333333334,0.987
278,0.088,0.919,0.034666666666666665,0.9805
279,0.862,0.906,0.97,0.9815
280,0.108,0.04,0.05466666666666667,0.9815
281,0.082,0.941,0.9666666666666667,0.979
282,0.102,0.055,0.9646666666666667,0.9775
283,0.102,0.047,0.9613333333333334,0.979
284,0.136,0.94,0.9533333333333334,0.979
285,0.098,0.951,0.964,0.973
286,0.078,0.088,0.9606666666666667,0.973
287,0.838,0.939,0.9566666666666667,0.975
288,0.092,0.915,0.048,0.983
289,0.08,0.92,0.966,0.9855
290,0.068,0.941,0.968,0.9805
291,0.118,0.895,0.97,0.9825
292,0.07,0.933,0.962,0.979
293,0.798,0.062,0.968,0.979
294,0.818,0.936,0.964,0.977
295,0.076,0.051,0.9646666666666667,0.979
296,0.1,0.067,0.050666666666666665,0.9785
297,0.846,0.935,0.966,0.9815
298,0.076,0.086,0.9686666666666667,0.979
299,0.08,0.052,0.9653333333333334,0.0425
300,0.098,0.059,0.966,0.984
301,0.796,0.915,0.04066666666666666,0.981
302,0.082,0.056,0.9706666666666667,0.9755
303,0.124,0.924,0.9553333333333334,0.9805
304,0.112,0.906,0.968,0.9825
305,0.104,0.05,0.9666666666666667,0.98
306,0.812,0.931,0.050666666666666665,0.0515
307,0.8,0.921,0.966,0.0325
308,0.84,0.087,0.97,0.986
309,0.136,0.932,0.9666666666666667,0.0455
310,0.738,0.943,0.9586666666666667,0.9825
311,0.14,0.914,0.038,0.9815
312,0.808,0.933,0.042,0.9815
313,0.088,0.932,0.974,0.976
314,0.792,0.919,0.04466666666666667,0.9805
315,0.136,0.086,0.97,0.978
316,0.18,0.919,0.9733333333333334,0.039
317,0.076,0.047,0.035333333333333335,0.9755
318,0.088,0.061,0.974,0.9825
319,0.092,0.946,0.948,0.98
320,0.142,0.082,0.9586666666666667,0.9825
321,0.116,0.918,0.035333333333333335,0.9865
322,0.78,0.909,0.9673333333333334,0.983
323,0.182,0.916,0.9566666666666667,0.0465
324,0.78,0.043,0.9606666666666667,0.9745
325,0.108,0.911,0.9686666666666667,0.028
326,0.078,0.064,0.036,0.9775
327,0.082,0.061,0.042666666666666665,0.9815
328,0.092,0.924,0.9626666666666667,0.976
329,0.112,0.048,0.9686666666666667,0.9825
330,0.092,0.928,0.9653333333333334,0.9805
331,0.064,0.937,0.04733333333333333,0.035
332,0.07,0.07,0.9613333333333334,0.9725
333,0.078,0.919,0.9666666666666667,0.9775
334,0.074,0.946,0.9626666666666667,0.9805
335,0.066,0.935,0.966,0.045
336,0.12,0.051,0.05266666666666667,0.98
337,0.076,0.943,0.9666666666666667,0.978
338,0.106,0.059,0.966,0.9805
339,0.774,0.935,0.9633333333333334,0.0345
340,0.076,0.059,0.9613333333333334,0.9725
341,0.09,0.943,0.042666666666666665,0.9795
342,0.134,0.92,0.96,0.981
343,0.76,0.919,0.9633333333333334,0.974
344,0.794,0.045,0.03333333333333333,0.975
345,0.102,0.932,0.968,0.05
346,0.106,0.049,0.9633333333333334,0.978
347,0.072,0.061,0.97,0.98
348,0.782,0.086,0.05266666666666667,0.9795
349,0.09,0.081,0.97,0.98
350,0.868,0.075,0.962,0.9835
351,0.814,0.054,0.958,0.9795
352,0.108,0.086,0.958,0.9795
353,0.076,0.928,0.9673333333333334,0.982
354,0.14,0.931,0.9573333333333334,0.98
355,0.132,0.067,0.9593333333333334,0.9805
356,0.088,0.057,0.968,0.978
357,0.088,0.91,0.9673333333333334,0.9845
358,0.12,0.051,0.037333333333333336,0.9755
359,0.134,0.937,0.96,0.0345
360,0.072,0.908,0.97,0.974
361,0.106,0.927,0.9666666666666667,0.98
362,0.112,0.928,0.044,0.035
363,0.138,0.909,0.052,0.978
364,0.796,0.046,0.9653333333333334,0.9805
365,0.782,0.908,0.9693333333333334,0.981
366,0.812,0.922,0.04066666666666666,0.9805
367,0.222,0.06,0.03866666666666667,0.04
368,0.102,0.935,0.9633333333333334,0.9715
369,0.142,0.933,0.9733333333333334,0.0405
370,0.696,0.055,0.966,0.0445
371,0.854,0.908,0.962,0.9775
372,0.712,0.06,0.9726666666666667,0.9815
373,0.122,0.067,0.9713333333333334,0.034
374,0.12,0.074,0.042666666666666665,0.982
375,0.088,0.068,0.958,0.9735
376,0.2,0.932,0.04466666666666667,0.9815
377,0.09,0.083,0.9753333333333334,0.9785
378,0.788,0.93,0.044,0.9795
379,0.1,0.049,0.9693333333333334,0.979
380,0.08,0.054,0.04,0.982
381,0.134,0.933,0.964,0.9795
382,0.772,0.928,0.964,0.979
383,0.826,0.078,0.9706666666666667,0.0335
384,0.13,0.949,0.9573333333333334,0.979
385,0.144,0.928,0.962,0.038
386,0.08,0.069,0.9666666666666667,0.0445
387,0.158,0.936,0.05266666666666667,0.988
388,0.108,0.098,0.9626666666666667,0.0485
389,0.088,0.919,0.964,0.036
390,0.072,0.106,0.03866666666666667,0.9835
391,0.114,0.927,0.9586666666666667,0.984
392,0.764,0.066,0.03866666666666667,0.9745
393,0.1,0.102,0.968,0.037
394,0.826,0.052,0.964,0.9705
395,0.072,0.052,0.9733333333333334,0.9755
396,0.088,0.044,0.9606666666666667,0.976
397,0.096,0.931,0.964,0.9775
398,0.74,0.919,0.9613333333333334,0.9765
399,0.202,0.062,0.972,0.033
400,0.792,0.938,0.9686666666666667,0.9755
401,0.812,0.921,0.9606666666666667,0.9795
402,0.132,0.937,0.98,0.984
403,0.092,0.933,0.052,0.977
404,0.108,0.938,0.9646666666666667,0.981
405,0.094,0.944,0.9653333333333334,0.985
406,0.098,0.048,0.962,0.9805
407,0.096,0.926,0.052,0.9825
408,0.836,0.054,0.043333333333333335,0.9775
409,0.12,0.937,0.9606666666666667,0.975
410,0.076,0.083,0.9633333333333334,0.98
411,0.116,0.938,0.050666666666666665,0.977
412,0.124,0.931,0.9733333333333334,0.9815
413,0.104,0.069,0.05733333333333333,0.026
414,0.086,0.926,0.9586666666666667,0.9845
415,0.828,0.053,0.052,0.979
416,0.818,0.927,0.9693333333333334,0.977
417,0.1,0.914,0.042666666666666665,0.9805
418,0.782,0.924,0.04133333333333333,0.973
419,0.098,0.941,0.9493333333333334,0.9755
420,0.836,0.922,0.9613333333333334,0.985
421,0.092,0.933,0.9553333333333334,0.979
422,0.788,0.948,0.9626666666666667,0.982
423,0.07,0.068,0.9646666666666667,0.977
424,0.142,0.94,0.05533333333333333,0.035
425,0.098,0.067,0.9666666666666667,0.972
426,0.066,0.06,0.9606666666666667,0.9775
427,0.128,0.919,0.9686666666666667,0.0365
428,0.094,0.905,0.03866666666666667,0.0335
429,0.108,0.915,0.9626666666666667,0.9805
430,0.172,0.075,0.966,0.9795
431,0.108,0.938,0.9653333333333334,0.979
432,0.118,0.051,0.9593333333333334,0.9765
433,0.11,0.936,0.966,0.9815
434,0.126,0.929,0.05466666666666667,0.0425
435,0.102,0.931,0.9593333333333334,0.98
436,0.098,0.933,0.96,0.9775
437,0.136,0.929,0.9593333333333334,0.0305
438,0.716,0.055,0.9706666666666667,0.0275
439,0.792,0.945,0.962,0.975
440,0.086,0.923,0.9613333333333334,0.988
441,0.076,0.082,0.048666666666666664,0.9795
442,0.086,0.063,0.9533333333333334,0.985
443,0.084,0.917,0.97,0.9745
444,0.802,0.918,0.9706666666666667,0.9765
445,0.11,0.066,0.9686666666666667,0.979
446,0.084,0.934,0.054,0.049
447,0.106,0.911,0.956,0.06
448,0.796,0.926,0.964,0.9785
449,0.096,0.922,0.9626666666666667,0.979
450,0.072,0.064,0.972,0.0375
451,0.832,0.918,0.9546666666666667,0.9725
452,0.818,0.058,0.04066666666666666,0.9805
453,0.08,0.067,0.044,0.979
454,0.082,0.919,0.964,0.9765
455,0.11,0.917,0.9653333333333334,0.0365
456,0.694,0.943,0.964,0.9815
457,0.08,0.049,0.05,0.9785
458,0.086,0.937,0.96,0.028
459,0.072,0.917,0.9626666666666667,0.974
460,0.752,0.926,0.9666666666666667,0.053
461,0.102,0.922,0.972,0.9795
462,0.786,0.939,0.9706666666666667,0.9775
463,0.094,0.939,0.9753333333333334,0.975
464,0.1,0.944,0.9666666666666667,0.9825
465,0.082,0.084,0.968,0.9835
466,0.834,0.925,0.9573333333333334,0.9765
467,0.082,0.922,0.9533333333333334,0.9795
468,0.12,0.922,0.9673333333333334,0.0415
469,0.81,0.928,0.958,0.974
470,0.1,0.046,0.05466666666666667,0.979
471,0.116,0.047,0.042,0.975
472,0.09,0.938,0.9626666666666667,0.982
473,0.846,0.061,0.9686666666666667,0.0415
474,0.098,0.05,0.06533333333333333,0.9815
475,0.148,0.069,0.9593333333333334,0.9765
476,0.826,0.942,0.04733333333333333,0.982
477,0.092,0.931,0.9613333333333334,0.9825
478,0.792,0.053,0.06066666666666667,0.9765
479,0.818,0.929,0.044,0.981
480,0.078,0.051,0.97,0.9795
481,0.086,0.923,0.035333333333333335,0.983
482,0.846,0.934,0.9706666666666667,0.9775
483,0.086,0.937,0.04133333333333333,0.98
484,0.092,0.922,0.06666666666666667,0.981
485,0.1,0.939,0.968,0.9855
486,0.16,0.936,0.9786666666666667,0.9815
487,0.084,0.061,0.9606666666666667,0.9785
488,0.086,0.937,0.9613333333333334,0.977
489,0.102,0.923,0.9566666666666667,0.9825
490,0.744,0.926,0.9633333333333334,0.975
491,0.092,0.944,0.9606666666666667,0.987
492,0.078,0.936,0.9613333333333334,0.981
493,0.082,0.073,0.9673333333333334,0.9735
494,0.79,0.925,0.9726666666666667,0.984
495,0.128,0.06,0.9693333333333334,0.9745
496,0.084,0.049,0.9666666666666667,0.9785
497,0.112,0.923,0.9653333333333334,0.9775
498,0.108,0.945,0.9713333333333334,0.049
499,0.738,0.045,0.964,0.0395
500,0.1,0.925,0.9673333333333334,0.9805
501,0.096,0.932,0.9586666666666667,0.0315
502,0.858,0.928,0.9633333333333334,0.975
503,0.086,0.118,0.9726666666666667,0.9825
504,0.076,0.051,0.964,0.036
505,0.084,0.916,0.035333333333333335,0.028
506,0.104,0.928,0.962,0.975
507,0.064,0.93,0.962,0.9765
508,0.1,0.913,0.962,0.0345
509,0.094,0.931,0.9693333333333334,0.9765
510,0.1,0.063,0.948,0.9755
511,0.77,0.936,0.05466666666666667,0.981
512,0.09,0.922,0.04466666666666667,0.9805
513,0.102,0.053,0.962,0.977
514,0.74,0.933,0.9566666666666667,0.978
515,0.106,0.925,0.034,0.9725
516,0.742,0.923,0.966,0.9815
517,0.84,0.934,0.962,0.9785
518,0.762,0.06,0.9606666666666667,0.9805
519,0.784,0.925,0.9633333333333334,0.9745
520,0.772,0.9,0.04466666666666667,0.9825
521,0.088,0.938,0.056666666666666664,0.0305
522,0.134,0.07,0.9626666666666667,0.9825
523,0.768,0.926,0.9613333333333334,0.9825
524,0.102,0.929,0.06133333333333333,0.9815
525,0.14,0.084,0.9586666666666667,0.9815
526,0.142,0.078,0.968,0.978
527,0.07,0.053,0.9673333333333334,0.979
528,0.08,0.058,0.9593333333333334,0.9685
529,0.072,0.051,0.04,0.979
530,0.09,0.941,0.04533333333333334,0.9795
531,0.116,0.911,0.9593333333333334,0.979
532,0.074,0.128,0.9846666666666667,0.9765
533,0.802,0.921,0.9626666666666667,0.9805
534,0.078,0.065,0.962,0.9795
535,0.12,0.93,0.9646666666666667,0.9805
536,0.12,0.914,0.9713333333333334,0.9755
537,0.104,0.933,0.964,0.9835
538,0.752,0.939,0.9606666666666667,0.9805
539,0.104,0.914,0.9626666666666667,0.0385
540,0.084,0.916,0.9633333333333334,0.0465
541,0.108,0.046,0.06533333333333333,0.985
542,0.114,0.936,0.9653333333333334,0.981
543,0.734,0.933,0.9646666666666667,0.974
544,0.088,0.934,0.956,0.9755
545,0.714,0.055,0.9713333333333334,0.9745
546,0.094,0.927,0.9666666666666667,0.975
547,0.108,0.93,0.048666666666666664,0.9775
548,0.806,0.936,0.9713333333333334,0.978
549,0.74,0.053,0.038,0.9815
550,0.148,0.933,0.974,0.039
551,0.066,0.93,0.042,0.9825
552,0.08,0.94,0.9753333333333334,0.979
553,0.778,0.945,0.05533333333333333,0.0375
554,0.742,0.931,0.04133333333333333,0.04
555,0.126,0.931,0.048666666666666664,0.044
556,0.092,0.054,0.9666666666666667,0.978
557,0.084,0.942,0.958,0.9755
558,0.816,0.059,0.9673333333333334,0.9675
559,0.078,0.928,0.05733333333333333,0.98
560,0.136,0.934,0.9686666666666667,0.9775
561,0.112,0.084,0.96,0.9745
562,0.124,0.057,0.972,0.979
563,0.088,0.94,0.9586666666666667,0.984
564,0.084,0.92,0.964,0.9815
565,0.782,0.118,0.9726666666666667,0.988
566,0.082,0.06,0.9586666666666667,0.9795
567,0.786,0.933,0.04133333333333333,0.037
568,0.092,0.925,0.964,0.0325
569,0.752,0.058,0.037333333333333336,0.028
570,0.08,0.932,0.9706666666666667,0.9815
571,0.136,0.047,0.9726666666666667,0.9755
572,0.174,0.06,0.9593333333333334,0.9805
573,0.066,0.076,0.96,0.974
574,0.11,0.054,0.96,0.9825
575,0.104,0.94,0.9633333333333334,0.9825
576,0.774,0.939,0.03933333333333333,0.036
577,0.068,0.079,0.048,0.9775
578,0.088,0.058,0.042,0.98
579,0.824,0.048,0.05533333333333333,0.977
580,0.078,0.072,0.9693333333333334,0.982
581,0.076,0.05,0.9566666666666667,0.9775
582,0.774,0.93,0.972,0.9755
583,0.114,0.086,0.07666666666666666,0.9785
584,0.074,0.077,0.964,0.031
585,0.764,0.058,0.964,0.98
586,0.784,0.948,0.968,0.978
587,0.13,0.926,0.966,0.983
588,0.732,0.094,0.9653333333333334,0.9755
589,0.084,0.074,0.042,0.0335
590,0.1,0.046,0.048666666666666664,0.983
591,0.072,0.056,0.9606666666666667,0.9755
592,0.074,0.929,0.9566666666666667,0.981
593,0.082,0.912,0.9573333333333334,0.9835
594,0.766,0.927,0.05333333333333334,0.975
595,0.086,0.93,0.9586666666666667,0.042
596,0.09,0.08,0.962,0.9795
597,0.836,0.049,0.06466666666666666,0.9855
598,0.108,0.925,0.958,0.9825
599,0.75,0.042,0.05,0.0495
600,0.75,0.056,0.04,0.9755
601,0.814,0.917,0.9653333333333334,0.977
602,0.13,0.061,0.9606666666666667,0.978
603,0.114,0.926,0.958,0.982
604,0.092,0.047,0.9573333333333334,0.9815
605,0.784,0.94,0.964,0.9795
606,0.078,0.053,0.03866666666666667,0.9805
607,0.728,0.06,0.958,0.9715
608,0.106,0.053,0.966,0.983
609,0.088,0.064,0.9633333333333334,0.9775
610,0.782,0.94,0.9693333333333334,0.9725
611,0.084,0.06,0.05733333333333333,0.0415
612,0.134,0.057,0.03933333333333333,0.977
613,0.092,0.952,0.9526666666666667,0.0275
614,0.074,0.927,0.956,0.984
615,0.818,0.071,0.974,0.978
616,0.824,0.925,0.964,0.9855
617,0.864,0.92,0.9613333333333334,0.9735
618,0.11,0.953,0.037333333333333336,0.9825
619,0.084,0.939,0.052,0.9825
620,0.096,0.092,0.9573333333333334,0.979
621,0.07,0.05,0.9633333333333334,0.9815
622,0.188,0.918,0.9533333333333334,0.982
623,0.114,0.079,0.9626666666666667,0.9765
624,0.118,0.932,0.9713333333333334,0.974
625,0.086,0.916,0.9706666666666667,0.9735
626,0.086,0.942,0.07533333333333334,0.9815
627,0.812,0.928,0.962,0.9785
628,0.12,0.935,0.052,0.9795
629,0.132,0.935,0.9526666666666667,0.9815
630,0.716,0.925,0.042,0.9685
631,0.086,0.94,0.9586666666666667,0.9845
632,0.092,0.932,0.9533333333333334,0.9785
633,0.088,0.068,0.968,0.9825
634,0.132,0.058,0.97,0.9815
