,n = 500,n = 1000,n = 1500,n = 2000
146,0.014,0.006,1.0,0.005
147,0.012,0.009,0.005333333333333333,0.009
148,0.012,0.006,0.005333333333333333,1.0
149,0.014,0.006,0.005333333333333333,0.004
150,0.02,0.008,0.007333333333333333,0.005
151,0.018,0.008,0.005333333333333333,0.005
152,0.012,0.006,0.005333333333333333,1.0
153,0.012,0.007,0.005333333333333333,0.006
154,0.014,0.01,0.004666666666666667,0.0075
155,0.014,0.008,0.9993333333333333,0.006
156,0.012,0.006,0.006666666666666667,1.0
157,0.99,0.007,1.0,1.0
158,0.012,0.006,1.0,0.0035
159,0.014,0.011,0.005333333333333333,0.004
160,0.016,0.013,1.0,1.0
161,0.022,0.008,0.006666666666666667,0.0035
162,0.034,0.007,0.009333333333333334,0.0045
163,0.996,0.006,1.0,0.004
164,0.012,0.007,0.005333333333333333,0.004
165,0.024,0.006,0.004666666666666667,1.0
166,0.016,0.006,0.004666666666666667,0.004
167,0.012,0.999,0.004666666666666667,0.0045
168,0.996,0.009,0.010666666666666666,0.0045
169,0.02,0.008,0.006666666666666667,0.0035
170,0.014,0.018,0.005333333333333333,1.0
171,0.012,0.998,0.004666666666666667,0.0045
172,0.018,0.009,0.005333333333333333,0.004
173,0.996,0.015,0.005333333333333333,0.0045
174,0.016,1.0,0.005333333333333333,0.005
175,0.02,1.0,0.008666666666666666,0.0035
176,0.024,1.0,0.004666666666666667,0.006
177,0.014,0.006,0.007333333333333333,1.0
178,0.024,0.008,0.007333333333333333,0.0055
179,0.02,0.009,0.005333333333333333,1.0
180,0.02,0.011,0.008,0.004
181,0.028,0.01,0.004666666666666667,0.0035
182,0.016,0.999,0.005333333333333333,0.0055
183,0.012,0.006,0.010666666666666666,0.0045
184,0.024,0.007,0.008666666666666666,0.0035
185,0.998,0.009,0.006,1.0
186,0.016,0.013,0.004666666666666667,0.0065
187,0.03,0.006,0.009333333333333334,0.0035
188,0.014,0.008,0.005333333333333333,0.9995
189,0.016,0.007,1.0,0.005
190,0.026,0.006,0.9993333333333333,0.0045
191,0.026,0.007,0.004666666666666667,0.0035
192,0.016,1.0,0.006,1.0
193,0.034,0.007,0.006,0.0045
194,0.014,0.006,0.006,0.9995
195,0.026,0.007,0.006,0.0045
196,0.016,1.0,0.008,0.004
197,0.014,0.007,0.008666666666666666,1.0
198,0.036,0.009,1.0,0.0045
199,0.016,0.011,0.006666666666666667,0.0105
200,0.998,0.999,0.006,0.0055
201,0.024,1.0,0.004666666666666667,0.0045
202,0.994,0.006,1.0,1.0
203,0.014,0.007,0.006,0.005
204,0.014,0.006,0.007333333333333333,0.004
205,0.014,0.006,1.0,0.005
206,0.024,0.007,0.005333333333333333,0.0055
207,0.018,1.0,0.007333333333333333,0.0045
208,0.012,0.011,1.0,0.0045
209,0.012,0.008,0.006666666666666667,0.004
210,0.034,0.006,0.004666666666666667,0.006
211,0.018,0.007,0.010666666666666666,0.0065
212,0.028,0.011,0.004666666666666667,0.0035
213,0.018,1.0,0.005333333333333333,0.004
214,0.014,0.007,1.0,0.004
215,0.018,1.0,0.006666666666666667,0.0035
216,0.02,0.007,0.008,0.0065
217,0.012,1.0,0.006,1.0
218,0.014,0.006,0.012666666666666666,0.0045
219,0.022,0.006,1.0,0.006
220,0.014,0.007,0.005333333333333333,0.006
221,0.012,0.011,0.008,1.0
222,0.02,0.007,0.005333333333333333,0.0075
223,0.014,1.0,0.008,0.0115
224,0.012,1.0,0.005333333333333333,1.0
225,0.012,0.006,1.0,0.0035
226,0.03,0.007,0.006666666666666667,0.0055
227,0.998,0.006,0.004666666666666667,0.0045
228,0.018,0.012,1.0,0.0045
229,0.016,0.01,0.005333333333333333,1.0
230,0.994,0.008,0.007333333333333333,0.0075
231,0.016,0.006,0.005333333333333333,0.004
232,0.018,0.009,1.0,1.0
233,0.014,0.01,0.006,0.0045
234,0.018,0.007,0.004666666666666667,0.0035
235,0.016,0.022,1.0,0.006
236,0.016,0.007,0.004666666666666667,0.006
237,0.012,0.007,0.008,0.0045
238,0.016,0.008,0.007333333333333333,1.0
239,0.996,0.999,0.008,0.0045
240,0.016,0.008,0.006666666666666667,1.0
241,0.026,0.999,0.005333333333333333,0.007
242,0.016,0.998,0.005333333333333333,1.0
243,0.012,0.007,1.0,1.0
244,0.012,0.007,1.0,0.0045
245,1.0,0.006,0.007333333333333333,1.0
246,0.02,0.006,0.006,0.0035
247,0.996,1.0,0.004666666666666667,0.0045
248,0.02,0.008,0.006666666666666667,0.004
249,0.014,0.999,0.008666666666666666,0.0075
250,0.016,0.006,0.004666666666666667,0.009
251,0.014,0.006,1.0,0.007
252,0.012,0.008,0.007333333333333333,1.0
253,0.026,0.007,0.006,0.004
254,0.996,0.007,0.010666666666666666,1.0
255,0.012,0.006,0.006,0.006
256,0.024,0.008,1.0,1.0
257,0.012,0.006,1.0,0.005
258,0.024,0.008,0.006666666666666667,0.0065
