,n = 500,n = 1000,n = 1500,n = 2000
144,0.054,0.032,0.042,0.0265
145,0.058,0.035,0.03,0.023
146,0.048,0.041,0.035333333333333335,0.0315
147,0.052,0.034,0.028,0.0245
148,0.054,0.045,0.04066666666666666,0.0255
149,0.05,0.032,0.030666666666666665,0.03
150,0.052,0.038,0.037333333333333336,0.032
151,0.048,0.042,0.034,0.0295
152,0.052,0.052,0.03266666666666666,0.0275
153,0.068,0.052,0.030666666666666665,0.0245
154,0.048,0.041,0.034666666666666665,0.0315
155,0.044,0.034,0.03333333333333333,0.033
156,0.052,0.038,0.03266666666666666,0.0265
157,0.072,0.042,0.030666666666666665,0.0285
158,0.066,0.04,0.036,0.0285
159,0.08,0.037,0.03666666666666667,0.026
160,0.068,0.039,0.035333333333333335,0.025
161,0.05,0.035,0.032,0.0295
162,0.076,0.034,0.036,0.0285
163,0.062,0.035,0.03133333333333333,0.029
164,0.088,0.04,0.032,0.0275
165,0.046,0.035,0.03333333333333333,0.0255
166,0.05,0.037,0.03866666666666667,0.0295
167,0.06,0.041,0.027333333333333334,0.0405
168,0.048,0.04,0.028666666666666667,0.0275
169,0.044,0.034,0.036,0.034
170,0.048,0.042,0.042,0.027
171,0.054,0.043,0.03333333333333333,0.029
172,0.06,0.038,0.03333333333333333,0.0275
173,0.062,0.038,0.038,0.0385
174,0.048,0.039,0.03866666666666667,0.0325
175,0.046,0.038,0.03,0.0295
176,0.048,0.044,0.03333333333333333,0.028
177,0.074,0.037,0.038,0.0295
178,0.064,0.039,0.029333333333333333,0.026
179,0.098,0.039,0.03133333333333333,0.026
180,0.048,0.045,0.032,0.024
181,0.058,0.046,0.034666666666666665,0.03
182,0.052,0.036,0.034,0.0255
183,0.052,0.039,0.03333333333333333,0.031
184,0.048,0.041,0.03266666666666666,0.0265
185,0.054,0.037,0.030666666666666665,0.026
186,0.052,0.034,0.035333333333333335,0.0255
187,0.054,0.039,0.02666666666666667,0.0315
188,0.062,0.041,0.034666666666666665,0.024
189,0.052,0.037,0.04533333333333334,0.0355
190,0.048,0.035,0.046,0.032
191,0.054,0.036,0.03,0.026
192,0.066,0.036,0.032,0.023
193,0.062,0.039,0.03133333333333333,0.03
194,0.052,0.04,0.048,0.0315
195,0.048,0.044,0.029333333333333333,0.027
196,0.052,0.034,0.032,0.03
197,0.058,0.038,0.035333333333333335,0.027
198,0.054,0.044,0.034666666666666665,0.0335
199,0.058,0.062,0.03133333333333333,0.032
200,0.05,0.057,0.034,0.023
201,0.054,0.035,0.028666666666666667,0.027
202,0.046,0.052,0.046,0.0375
203,0.054,0.044,0.037333333333333336,0.0345
204,0.052,0.035,0.04466666666666667,0.0275
205,0.056,0.042,0.03133333333333333,0.0255
206,0.046,0.036,0.03,0.025
207,0.052,0.038,0.030666666666666665,0.0285
208,0.05,0.057,0.034666666666666665,0.0275
209,0.058,0.037,0.037333333333333336,0.0355
210,0.048,0.037,0.030666666666666665,0.028
211,0.056,0.033,0.03133333333333333,0.028
212,0.142,0.035,0.03,0.031
213,0.056,0.041,0.027333333333333334,0.0265
214,0.064,0.05,0.035333333333333335,0.0265
215,0.052,0.04,0.03266666666666666,0.024
216,0.044,0.043,0.034666666666666665,0.0325
217,0.05,0.037,0.04133333333333333,0.0265
218,0.054,0.051,0.03333333333333333,0.028
219,0.06,0.039,0.03133333333333333,0.03
220,0.056,0.038,0.03866666666666667,0.029
221,0.056,0.036,0.030666666666666665,0.027
222,0.072,0.036,0.03333333333333333,0.0265
223,0.046,0.036,0.03333333333333333,0.0285
224,0.048,0.032,0.028666666666666667,0.0295
225,0.064,0.033,0.03933333333333333,0.033
226,0.064,0.044,0.028666666666666667,0.028
227,0.058,0.051,0.030666666666666665,0.0235
228,0.056,0.036,0.032,0.029
229,0.048,0.036,0.03133333333333333,0.025
230,0.052,0.052,0.03,0.027
231,0.05,0.039,0.03666666666666667,0.0295
232,0.048,0.039,0.027333333333333334,0.026
233,0.06,0.037,0.03133333333333333,0.0255
234,0.054,0.036,0.032,0.0365
235,0.05,0.04,0.038,0.0255
236,0.06,0.037,0.04466666666666667,0.03
237,0.052,0.048,0.03133333333333333,0.0265
238,0.058,0.038,0.028666666666666667,0.03
239,0.054,0.044,0.032,0.028
240,0.044,0.043,0.036,0.032
241,0.052,0.042,0.038,0.031
242,0.066,0.041,0.03,0.032
